STATE/UT,Region,Oil_type,Year,Production
CHANDIGARH,REGION - NORTH,MS/Petrol,2008,75.10267
DELHI,REGION - NORTH,MS/Petrol,2008,762.46914
HARYANA,REGION - NORTH,MS/Petrol,2008,480.9596
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2008,77.02332
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2008,102.46525
LADAKH,REGION - NORTH,MS/Petrol,2008,0
PUNJAB,REGION - NORTH,MS/Petrol,2008,502.66898
RAJASTHAN,REGION - NORTH,MS/Petrol,2008,526.81745
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2008,974.70046
UTTARAKHAND,REGION - NORTH,MS/Petrol,2008,120.47933
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2008,14.7567
ASSAM,REGION - NORTH EAST,MS/Petrol,2008,113.19274
MANIPUR,REGION - NORTH EAST,MS/Petrol,2008,21.48329
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2008,35.4378
MIZORAM,REGION - NORTH EAST,MS/Petrol,2008,12.77987
NAGALAND,REGION - NORTH EAST,MS/Petrol,2008,16.77135
SIKKIM,REGION - NORTH EAST,MS/Petrol,2008,8.37965
TRIPURA,REGION - NORTH EAST,MS/Petrol,2008,18.79661
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2008,8.00999
BIHAR,REGION - EAST,MS/Petrol,2008,185.40132
JHARKHAND,REGION - EAST,MS/Petrol,2008,164.11473
ODISHA,REGION - EAST,MS/Petrol,2008,233.5995
WEST BENGAL,REGION - EAST,MS/Petrol,2008,307.64365
CHHATTISGARH,REGION - WEST,MS/Petrol,2008,176.66757
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2008,24.51225
GOA,REGION - WEST,MS/Petrol,2008,84.06224
GUJARAT,REGION - WEST,MS/Petrol,2008,804.47128
MADHYA PRADESH,REGION - WEST,MS/Petrol,2008,470.21713
MAHARASHTRA,REGION - WEST,MS/Petrol,2008,1586.16005
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2008,850.39972
KARNATAKA,REGION - SOUTH,MS/Petrol,2008,767.34743
KERALA,REGION - SOUTH,MS/Petrol,2008,607.99711
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2008,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2008,71.69717
TAMIL NADU,REGION - SOUTH,MS/Petrol,2008,1051.20799
TELANGANA,REGION - SOUTH,MS/Petrol,2008,0
CHANDIGARH,REGION - NORTH,HSD/Diesel,2008,73.73712
DELHI,REGION - NORTH,HSD/Diesel,2008,1221.28794
HARYANA,REGION - NORTH,HSD/Diesel,2008,3579.82117
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2008,372.46266
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2008,422.84266
LADAKH,REGION - NORTH,HSD/Diesel,2008,
PUNJAB,REGION - NORTH,HSD/Diesel,2008,2631.11163
RAJASTHAN,REGION - NORTH,HSD/Diesel,2008,3298.08247
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2008,5259.99822
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2008,454.9274
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2008,57.87158
ASSAM,REGION - NORTH EAST,HSD/Diesel,2008,570.10569
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2008,51.48325
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2008,234.4912
